/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
24.14	152.76	177-1089B-3-3,70-71.5	3.07	-0.14	4.01	-1.31	49.0	
24.19	153.08	177-1089B-3-3,75-76.5			3.99	-1.07	47.1	25.2
24.24	153.45	177-1089B-3-3,80-81.5	3.04	-0.46			45.4	
24.29	153.73	177-1089B-3-3,85-86.5	3.07	-0.44	3.96	-1.18	46.6	
24.34	154.06	177-1089B-3-3,90-91.5	3.03	-0.34	4.02	-1.26	44.6	
24.39	154.38	177-1089B-3-3,95-96.5	3.44	-0.19	4.17	-1.28	44.1	
24.44	154.71	177-1089B-3-3,100-101.5	3.33	0.15	4.07	-0.99	43.2	39.7
24.49	155.03	177-1089B-3-3,105-106.5	3.28	0.23	4.11	-1.19	42.3	
24.54	155.36	177-1089B-3-3,110-111.5	3.33	0.29			43.3	
24.59	155.68	177-1089B-3-3,115-116.5			4.03	-1.27	43.0	
24.64	156.01	177-1089B-3-3,120-121.5	3.34	0.00			42.8	
24.69	156.33	177-1089B-3-3,125-126.5	3.28	-0.05	4.11	-1.17	42.9	39.6
24.74	156.64	177-1089B-3-3,130-131.5	3.38	-0.06			43.3	
24.79	156.96	177-1089B-3-3,135-136.5	3.49	0.26	4.03	-1.00	41.8	
24.84	157.28	177-1089B-3-3,140-141.5	3.40	-0.36	4.24	-0.99	42.9	
24.89	157.59	177-1089B-3-3,145-146.5	3.12	-0.15			41.0	
24.94	157.91	177-1089B-3-4,0-1.5	3.32	-0.36			43.3	39.7
24.99	158.22	177-1089B-3-4,5-6.5	3.41	-0.18	4.02	-1.23	43.8	
25.04	158.54	177-1089B-3-4,9-10.5	3.17	-0.40	4.12	-1.07	45.6	
25.09	158.86	177-1089B-3-4,15-16.5	3.18	-0.28	3.93	-1.02	42.9	
25.14	159.17	177-1089B-3-4,20-21.5	2.92	0.03	3.93	-1.17	42.2	
25.19	159.49	177-1089B-3-4,25-26.5	3.16	0.10	3.94	-1.07	42.5	59.2
25.24	159.81	177-1089B-3-4,29-30.5	3.33	-0.20	4.10	-1.04	42.7	
25.29	160.12	177-1089B-3-4,35-36.5	3.10	-0.72	3.99	-0.85	41.4	
25.34	160.44	177-1089B-3-4,39-40.5	2.98	-0.29	3.81	-1.12	40.9	
25.39	160.75	177-1089B-3-4,45-46.5	2.95	-0.07	4.03	-0.98	43.4	
25.44	161.07	177-1089B-3-4,49-50.5	2.88	-0.31	3.97	-0.76	44.3	16.2
25.49	161.39	177-1089B-3-4,55-56.5	3.04	-0.36	3.91	-0.85	40.6	
25.54	161.70	177-1089B-3-4,59-60.5	3.00	-0.14	3.87	-0.67	39.1	
25.59	162.01	177-1089B-3-4,65-66.5	2.81	-0.37			31.8	
25.64	162.32	177-1089B-3-4,70-71.5	3.01	-0.22	3.70	-0.79	35.0	
25.69	162.62	177-1089B-3-4,75-76.5	2.85	0.12			31.5	28.8
25.74	162.92	177-1089B-3-4,79-80.5	2.77	-0.13	3.91	-0.70	31.8	
25.79	163.22	177-1089B-3-4,85-86.5	2.85	-0.55	3.87	-0.91	30.4	
25.84	163.52	177-1089B-3-4,89-90.5	2.62	-0.35	3.82	-1.01	29.8	
25.89	163.83	177-1089B-3-4,95-96.5	2.62	-0.52	3.90	-1.06	34.2	
25.94	164.13	177-1089B-3-4,99-100.5	2.60	-0.54	3.81	-0.95	37.1	26.5
25.99	164.43	177-1089B-3-4,105-106.5	2.87	-0.37	3.74	-0.79	35.3	
26.04	164.73	177-1089B-3-4,109-110.5	2.81	-0.25			34.0	
26.09	165.03	177-1089B-3-4,115-116.5	2.87	0.17	3.80	-1.35	27.8	
26.14	165.34	177-1089B-3-4,120-121.5	2.63	-0.52	3.74	-1.10	21.4	
26.19	165.64	177-1089B-3-4,125-126.5	2.63	-0.29			21.7	26.8
26.24	165.94	177-1089B-3-4,129-130.5	2.71	-0.14			22.7	
26.29	166.24	177-1089B-3-4,135-136.5	2.92	0.10			20.8	
26.34	166.54	177-1089B-3-4,139-140.5	2.92	0.43	3.77	-1.18	22.3	
26.39	166.85	177-1089B-3-4,145-146.5	2.63	-0.49			21.7	
26.44	167.15	177-1089B-3-5,0-1.5	2.84	-0.44	3.77	-0.99	25.7	38.1
26.49	167.45	177-1089B-3-5,5-6.5	2.92	-0.04	3.83	-1.13	27.3	
26.54	167.73	177-1089B-3-5,9-10.5	2.95	-0.05	3.82	-1.20	28.1	
26.59	168.01	177-1089B-3-5,15-16.5			3.76	-0.79	32.2	
26.64	168.30	177-1089B-3-5,20-21.5	2.79	0.03	3.81	-1.04	32.4	
26.69	168.58	177-1089B-3-5,25-26.5	2.74	-0.30	3.79	-1.12	31.6	32.0
26.74	168.86	177-1089B-3-5,29-30.5	2.63	-0.33	3.81	-1.05	34.0	
26.79	169.15	177-1089B-3-5,35-36.5	2.75	0.02	3.74	-1.29	33.8	
26.84	169.43	177-1089B-3-5,39-40.5	2.78	0.27	3.79	-1.02	34.8	
26.89	169.71	177-1089B-3-5,45-46.5	2.71	0.09	3.85	-1.05	36.5	22.9
26.94	169.99	177-1089B-3-5,49-50.5	2.67	-0.01	3.64	-1.06	34.6	
26.99	170.28	177-1089B-3-5,55-56.5	2.84	0.22	3.67	-1.06	41.2	35.0
27.04	170.56	177-1089B-3-5,59-60.5	2.83	0.30	3.70	-0.97	44.1	
27.09	170.84	177-1089B-3-5,65-66.5	2.78	0.10	3.74	-0.89	45.9	
27.14	171.13	177-1089B-3-5,70-71.5	2.97	0.34	3.69	-0.76	46.8	
27.19	171.41	177-1089B-3-5,75-76.5	2.94	0.14	3.77	-0.64	43.3	17.7
27.24	171.69	177-1089B-3-5,79-80.5	2.87	0.05	3.66	-0.75	43.6	
27.30	172.04	177-1089B-3-5,85-86.5	2.67	0.38	3.43	-0.72	42.1	
27.34	172.26	177-1089B-3-5,89-90.5	2.87	0.11	3.49	-0.75	38.9	
27.39	172.54	177-1089B-3-5,95-96.5			3.49	-0.90	40.8	
27.44	172.82	177-1089B-3-5,99-100.5	2.78	0.20	3.46	-0.94	39.2	43.0
27.49	173.11	177-1089B-3-5,105-106.5	2.77	-0.08	3.48	-0.77	42.7	
27.54	173.39	177-1089B-3-5,109-110.5	2.61	-0.23	3.56	-1.14	43.8	
27.59	173.68	177-1089B-3-5,115-116.5	2.80	-0.15	3.49	-0.99	45.0	
27.64	173.96	177-1089B-3-5,120-121.5	2.91	0.31	3.72	-1.03	46.6	
27.69	174.25	177-1089B-3-5,125-126.5	3.17	0.00	3.66	-0.79	46.9	31.8
27.74	174.53	177-1089B-3-5,129-130.5	3.13	0.22			43.3	
27.79	174.82	177-1089B-3-5,135-136.5	3.03	0.02	3.55	-1.06	37.4	
27.84	175.11	177-1089B-3-5,139-140.5	2.84	0.06	3.57	-0.82	33.9	
27.89	175.39	177-1089B-3-5,145-146.5	2.40	0.34			35.4	
27.94	175.68	177-1089B-3-6,0-1.5	2.45	-0.32			36.5	
27.99	175.96	177-1089B-3-6,5-6.5	2.92	-0.34	3.67	-0.80	35.1	
28.04	176.25	177-1089B-3-6,9-10.5	3.01	-0.54	3.63	-0.80	34.8	
28.09	176.53	177-1089B-3-6,15-16.5	2.91	-0.05	3.70	-0.89	35.3	
28.14	176.82	177-1089B-3-6,20-21.5	2.80	-0.43	3.73	-1.18	35.1	53.0
28.19	177.10	177-1089B-3-6,25-26.5	2.76	0.00	3.76	-1.20	33.9	
28.24	177.39	177-1089B-3-6,29-30.5			3.77	-0.89	34.2	
28.29	177.67	177-1089B-3-6,35-36.5			3.78	-1.10	28.8	
28.34	177.96	177-1089B-3-6,39-40.5	3.16	-0.17	3.71	-1.12	31.2	
28.39	178.25	177-1089B-3-6,45-46.5	3.13	-0.25			32.3	46.4
28.44	178.54	177-1089B-3-6,49-50.5	3.13	-0.41	3.76	-0.92	34.7	
28.49	178.83	177-1089B-3-6,55-56.5	3.27	-0.25	3.73	-0.79	39.0	
28.54	179.12	177-1089B-3-6,59-60.5	2.87	-0.31			41.5	
28.59	179.41	177-1089B-3-6,65-66.5	3.23	-0.12	3.86	-0.77	44.3	
28.64	179.70	177-1089B-3-6,70-71.5	3.48	-0.08			43.9	43.0
28.69	179.99	177-1089B-3-6,75-76.5	3.21	0.15	3.68	-0.96	43.1	
28.74	180.30	177-1089B-3-6,80-81.5	2.62	0.01			46.1	
28.79	180.60	177-1089B-3-6,85-86.5	2.97	-0.31			31.3	
28.84	180.91	177-1089B-3-6,90-91.5	3.02	-0.18			23.2	
28.89	181.20	177-1089B-3-6,95-96.5	2.65	-0.34			22.8	25.7
28.94	181.50	177-1089B-3-6,100-101.5	2.68	-0.12			22.2	
28.99	181.80	177-1089B-3-6,105-106.5	2.70	-0.33			23.6	
29.04	182.10	177-1089B-3-6,110-111.5	2.78	-0.36			23.4	
29.09	182.39	177-1089B-3-6,115-116.5	2.90	-0.28			23.0	
29.13	182.53	177-1089C-4-1,145-146.5	3.46	0.40	3.85	-1.09	20.0	
29.18	182.82	177-1089C-4-2,0-1.5	3.07	-0.06	3.74	-0.85	21.1	32.9
29.23	183.11	177-1089C-4-2,5-6.5	3.00	0.05	3.80	-1.17	21.3	
29.28	183.37	177-1089C-4-2,10-11.5	3.26	-0.16	3.79	-1.08	14.6	
29.33	183.63	177-1089C-4-2,15-16.5	3.20	-0.35			12.5	
29.38	183.88	177-1089C-4-2,20-21.5	3.12	-0.12	3.85	-0.94	14.8	
29.43	184.14	177-1089C-4-2,25-26.5	2.98	0.09	3.74	-0.68	13.2	31.8
29.48	184.40	177-1089C-4-2,30-31.5	2.99	-0.25			10.8	
29.53	184.65	177-1089C-4-2,35-36.5	2.74	-0.26	3.76	-1.32	10.1	
29.58	184.91	177-1089C-4-2,40-41.5	2.86	-0.03	3.75	-0.88	7.8	
29.63	185.17	177-1089C-4-2,45-46.5	3.16	0.02	3.71	-1.21	6.8	
29.68	185.43	177-1089C-4-2,50-51.5	2.97	0.46	3.68	-1.19	7.5	33.3
29.73	185.68	177-1089C-4-2,55-56.5	3.05	-0.05			3.6	
29.78	185.94	177-1089C-4-2,60-61.5	3.00	-0.14			3.9	
29.83	186.20	177-1089C-4-2,65-66.5	2.58	-0.36			3.3	
29.88	186.46	177-1089C-4-2,70-71.5	3.04	0.02	3.68	-1.19	1.3	
29.93	186.71	177-1089C-4-2,75-76.5					2.2	35.7
29.98	186.97	177-1089C-4-2,80-81.5					1.6	
30.03	187.23	177-1089C-4-2,85-86.5	2.44	0.00			2.0	
30.08	187.48	177-1089C-4-2,90-91.5	3.02	0.13			3.3	
30.13	187.74	177-1089C-4-2,95-96.5	2.63	-0.16			6.9	
30.18	188.06	177-1089C-4-2,100-101.5	2.89	0.28	3.49	-0.64	5.5	47.0
30.23	188.40	177-1089C-4-2,105-106.5	2.61	-0.19			7.4	
30.28	188.75	177-1089C-4-2,110-111.5	2.86	0.08	3.56	-0.65	13.8	
30.33	189.10	177-1089C-4-2,115-116.5	2.74	-0.10	3.55	-0.38	11.3	
30.38	189.44	177-1089C-4-2,120-121.5					10.8	
30.43	189.79	177-1089C-4-2,125-126.5	2.81	0.21	3.44	-0.61	10.9	47.2
30.48	190.13	177-1089C-4-2,130-131.5	2.74	0.50			8.0	
30.53	190.48	177-1089C-4-2,135-136.5	2.65	-0.12			1.2	
30.58	190.83	177-1089C-4-2,140-141.5	2.79	0.16			0.0	
30.63	191.17	177-1089C-4-2,145-146.5	2.34	-0.27			0.0	
30.68	191.52	177-1089C-4-3,0-1.5					0.0	44.4
30.73	191.87	177-1089C-4-3,5-6.5					0.3	
30.78	192.21	177-1089C-4-3,10-11.5					0.0	
30.83	192.56	177-1089C-4-3,15-16.5	2.71	0.22			5.0	
30.88	192.90	177-1089C-4-3,20-21.5	2.53	-0.16			1.5	
30.93	193.25	177-1089C-4-3,25-26.5	2.61	0.27			3.7	26.5
30.98	193.60	177-1089C-4-3,30-31.5					0.0	
31.03	193.94	177-1089C-4-3,35-36.5					0.0	
31.08	194.37	177-1089C-4-3,40-41.5					0.0	42.1
31.13	194.94	177-1089C-4-3,45-46.5					0.0	
31.18	195.51	177-1089C-4-3,50-51.5					3.4	
31.23	196.08	177-1089C-4-3,55-56.5	2.46	-0.35			4.0	70.6
31.28	196.65	177-1089C-4-3,60-61.5	2.20	0.38			7.8	
31.33	197.22	177-1089C-4-3,65-66.5	2.56	0.47			9.2	
31.38	197.79	177-1089C-4-3,70-71.5	2.27	0.01			14.3	
31.43	198.35	177-1089C-4-3,75-76.5					15.8	91.9
31.48	198.92	177-1089C-4-3,80-81.5					14.8	
31.53	199.49	177-1089C-4-3,85-86.5					12.0	
31.58	200.06	177-1089C-4-3,90-91.5	2.43	0.28			9.5	
31.63	200.63	177-1089C-4-3,95-96.5					0.8	
31.68	201.20	177-1089C-4-3,100-101.5					0.6	69.2
31.73	201.77	177-1089C-4-3,105-106.5	2.64	0.06			0.0	
31.78	202.34	177-1089C-4-3,110-111.5					0.0	
31.83	202.91	177-1089C-4-3,115-116.5					0.2	
31.88	203.47	177-1089C-4-3,120-121.5					1.8	
31.93	204.04	177-1089C-4-3,125-126.5					4.8	66.0
31.98	204.62	177-1089C-4-3,130-131.5	2.46	0.41			3.3	
32.03	205.25	177-1089C-4-3,135-136.5					4.6	
32.08	205.88	177-1089C-4-3,140-141.5	2.55	0.63			4.2	
32.13	206.52	177-1089C-4-3,145-146.5					4.8	
32.18	207.15	177-1089C-4-4,0-1.5	2.61	0.60			5.7	48.8
32.23	207.78	177-1089C-4-4,5-6.5	2.36	0.27			4.8	
32.28	208.42	177-1089C-4-4,10-11.5	2.46	0.22			6.4	
32.33	209.05	177-1089C-4-4,15-16.5	2.35	0.62			10.7	
32.38	209.68	177-1089C-4-4,20-21.5	2.42	0.61			12.6	
32.43	210.32	177-1089C-4-4,25-26.5	2.19	0.35			16.3	91.4
32.48	210.95	177-1089C-4-4,30-31.5					20.9	
32.53	211.58	177-1089C-4-4,35-36.5					23.3	
32.58	212.22	177-1089C-4-4,40-41.5	2.08	0.18			26.3	
32.63	212.85	177-1089C-4-4,45-46.5	1.94	0.10			27.7	
32.68	213.48	177-1089C-4-4,50-51.5	2.45	0.31			30.5	78.9
32.73	214.12	177-1089C-4-4,55-56.5	2.02	0.66			33.3	
32.78	214.75	177-1089C-4-4,60-61.5	2.41	0.64			34.4	
32.83	215.38	177-1089C-4-4,65-66.5	2.36	0.72			36.1	
32.88	216.01	177-1089C-4-4,70-71.5					37.2	
32.93	216.54	177-1089C-4-4,75-76.5	2.31	0.60			40.7	65.9
32.98	217.03	177-1089C-4-4,80-81.5	2.39	0.27			44.6	
33.03	217.53	177-1089C-4-4,85-86.5	2.37	0.43	2.80	-0.50	43.2	
33.08	218.02	177-1089C-4-4,90-91.5	2.29	0.10			41.6	
33.13	218.51	177-1089C-4-4,95-96.5	2.24	0.44	2.88	-0.60	39.0	
33.18	219.01	177-1089C-4-4,100-101.5	2.48	0.34	3.04	-0.51	37.3	77.1
33.23	219.50	177-1089C-4-4,105-106.5	2.72	0.46			39.0	
33.28	220.00	177-1089C-4-4,110-111.5	2.71	0.51	3.11	-0.71	33.2	
33.33	220.49	177-1089C-4-4,115-116.5			3.32	-0.68	27.9	
33.38	220.98	177-1089C-4-4,120-121.5					23.1	
33.43	221.48	177-1089C-4-4,125-126.5	2.59	-0.18	3.33	-0.86	20.3	71.2
33.48	221.97	177-1089C-4-4,130-131.5	2.70	-0.06			19.6	
33.53	222.46	177-1089C-4-4,135-136.5	2.64	-0.31	3.44	-1.09	17.7	
33.58	222.96	177-1089C-4-4,140-141.5	2.71	-0.15			17.3	
33.63	223.45	177-1089C-4-4,145-146.5					16.8	
33.68	223.94	177-1089C-4-5,0-1.5	3.04	-0.06			18.3	65.7
33.73	224.44	177-1089C-4-5,5-6.5					10.9	
33.78	224.93	177-1089C-4-5,10-11.5	3.01	0.11	3.56	-0.80	7.8	
33.83	225.36	177-1089C-4-5,15-16.5					10.3	
33.88	225.71	177-1089C-4-5,20-21.5	2.84	0.16	3.54	-0.53	12.6	
33.93	226.06	177-1089C-4-5,25-26.5					15.8	57.2
33.98	226.41	177-1089C-4-5,30-31.5	3.03	0.00			17.3	
34.03	226.77	177-1089C-4-5,35-36.5	2.94	0.16	3.58	-0.88	19.9	
34.08	227.12	177-1089C-4-5,40-41.5	2.94	0.22	3.58	-0.87	25.4	
34.13	227.47	177-1089C-4-5,45-46.5	2.76	-0.11			28.5	
34.18	227.82	177-1089C-4-5,50-51.5	3.02	0.47	3.62	-0.65	29.5	
34.25	228.31	177-1089B-4-3,115-116.5	2.68	-0.15	3.55	-0.77	29.0	
34.30	228.67	177-1089B-4-3,119-120.5	2.91	0.20	3.54	-0.68	26.9	
34.35	229.02	177-1089B-4-3,125-126.5	2.86	0.16	3.48	-0.64	19.0	
34.40	229.37	177-1089B-4-3,129-130.5			3.40	-0.52	8.3	
34.45	229.72	177-1089B-4-3,135-136.5					1.3	17.9
34.50	230.07	177-1089B-4-3,140-141.5	2.62	0.06			0.1	
34.55	230.43	177-1089B-4-3,144-145.5					0.8	
34.60	230.78	177-1089B-4-4,0-1.5	2.72	0.12			1.6	
34.65	231.13	177-1089B-4-4,5-6.5	2.62	0.09			6.9	
34.70	231.48	177-1089B-4-4,9-10.5	2.74	0.16			10.7	67.6
34.75	231.82	177-1089B-4-4,15-16.5					13.5	
34.80	232.14	177-1089B-4-4,19-20.5	2.70	0.26	3.49	-0.62	10.8	
34.85	232.47	177-1089B-4-4,25-26.5			3.42	-0.70	11.8	
34.90	232.79	177-1089B-4-4,29-30.5	2.39	-0.29			8.9	
34.95	233.11	177-1089B-4-4,35-36.5					4.2	24.6
35.00	233.44	177-1089B-4-4,40-41.5	2.40	-0.02			7.6	
35.05	233.76	177-1089B-4-4,45-46.5					8.9	
35.10	234.09	177-1089B-4-4,49-50.5	2.72	0.12	3.49	-0.44	10.1	
35.15	234.41	177-1089B-4-4,55-56.5					13.4	
35.20	234.73	177-1089B-4-4,59-60.5	2.28	0.02			12.5	57.7
35.25	235.06	177-1089B-4-4,65-66.5	2.47	0.26	3.29	-0.72	12.5	
35.30	235.38	177-1089B-4-4,69-70.5	2.44	0.15	3.20	-0.60	11.0	
35.35	235.70	177-1089B-4-4,75-76.5	2.51	0.27	3.34	-0.57	14.2	
35.40	236.03	177-1089B-4-4,79-80.5	2.41	-0.05	3.30	-0.61	14.3	
35.45	236.35	177-1089B-4-4,85-86.5	2.50	-0.05			10.9	74.7
35.50	236.68	177-1089B-4-4,90-91.5	2.26	0.19			14.9	
35.55	237.00	177-1089B-4-4,95-96.5	2.75	0.33	2.88	-0.54	14.9	
35.60	237.32	177-1089B-4-4,99-100.5	2.35	0.41	3.05	-0.31	17.8	
35.65	237.68	177-1089B-4-4,105-106.5	2.35	0.37	3.01	-0.44	20.0	
35.70	238.12	177-1089B-4-4,109-110.5	2.30	0.50	2.89	-0.18	28.8	80.1
35.75	238.56	177-1089B-4-4,115-116.5	2.29	0.61			30.9	
35.80	239.00	177-1089B-4-4,119-120.5	2.50	0.74			34.2	
35.85	239.44	177-1089B-4-4,125-126.5	2.41	0.60	2.86	-0.27	37.3	
35.90	239.88	177-1089B-4-4,129-130.5	2.45	0.32	2.70	-0.33	38.5	
35.95	240.32	177-1089B-4-4,135-136.5	2.35	0.64	2.73	-0.86	37.2	65.2
36.00	240.76	177-1089B-4-4,140-141.5	2.39	0.49	2.68	-0.71	40.7	
36.05	241.20	177-1089B-4-4,145-146.5					40.2	
36.10	241.64	177-1089B-4-5,0-1.5	2.14	0.42	2.59	-0.30	42.9	
36.15	242.08	177-1089B-4-5,5-6.5	2.07	0.22	2.50	-0.42	44.1	
36.20	242.51	177-1089B-4-5,9-10.5	2.27	0.30	2.58	-0.41	45.1	
36.25	242.95	177-1089B-4-5,15-16.5	2.18	-0.05	2.71	-0.03	48.3	43.3
36.30	243.39	177-1089B-4-5,19-20.5	2.21	-0.06			52.5	
36.35	243.83	177-1089B-4-5,25-26.5	2.02	-0.31			50.3	
36.40	244.27	177-1089B-4-5,29-30.5	2.12	-0.35			54.3	
36.45	244.71	177-1089B-4-5,35-36.5			3.15	-0.61	52.8	
36.50	245.15	177-1089B-4-5,40-41.5	2.22	-0.18			52.1	63.4
36.55	245.58	177-1089B-4-5,45-46.5	2.79	0.10	3.45	-0.65	47.0	
36.60	246.00	177-1089B-4-5,49-50.5	2.71	-0.15	3.51	-0.43	50.3	
36.65	246.42	177-1089B-4-5,55-56.5	2.99	0.24	3.51	-0.85	51.1	
36.70	246.83	177-1089B-4-5,59-60.5	3.07	0.21	3.59	-0.47	49.8	
36.75	247.25	177-1089B-4-5,65-66.5	2.98	-0.09	3.67	-0.59	52.9	26.1
36.80	247.66	177-1089B-4-5,69-70.5	2.74	0.02	3.64	-0.70	51.5	
36.85	248.07	177-1089B-4-5,75-76.5	2.96	-0.09	3.62	-0.71	50.7	
36.90	248.49	177-1089B-4-5,79-80.5	2.84	-0.06	3.53	-0.81	49.6	
36.95	248.90	177-1089B-4-5,85-86.5	2.91	-0.07	3.52	-0.90	40.2	
37.00	249.32	177-1089B-4-5,90-91.5	2.77	-0.28	3.58	-0.61	36.6	23.4
37.05	249.73	177-1089B-4-5,95-96.5	3.00	-0.09	3.65	-0.76	34.9	
37.10	250.14	177-1089B-4-5,99-100.5	2.76	-0.41	3.58	-0.87	37.2	
37.15	250.56	177-1089B-4-5,105-106.5	3.06	-0.32	3.67	-0.98	40.6	
37.20	250.97	177-1089B-4-5,109-110.5	2.79	-0.57	3.68	-0.86	45.3	
37.25	251.39	177-1089B-4-5,115-116.5			3.78	-0.84	46.4	34.9
37.30	251.80	177-1089B-4-5,119-120.5	2.73	-0.39	3.79	-0.85	43.4	
37.35	252.22	177-1089B-4-5,125-126.5	3.08	-0.39	3.67	-0.90	34.6	
37.40	252.65	177-1089B-4-5,129-130.5	2.89	-0.53	3.85	-1.15	34.7	
37.45	253.08	177-1089B-4-5,135-136.5	2.72	-0.52	3.74	-1.00	32.3	
37.50	253.51	177-1089B-4-5,140-141.5	3.01	-0.15	3.67	-1.06	33.7	39.1
37.55	253.94	177-1089B-4-5,145-146.5	3.03	-0.43			35.8	
37.60	254.38	177-1089B-4-6,0-1.5	2.98	-0.08	3.66	-0.58	37.3	
37.65	254.82	177-1089B-4-6,5-6.5	2.81	-0.12	3.86	-1.12	37.9	
37.70	255.27	177-1089B-4-6,9-10.5	3.01	-0.11	3.82	-0.88	37.0	
37.75	255.72	177-1089B-4-6,15-16.5	2.98	-0.19			39.8	17.2
37.80	256.17	177-1089B-4-6,19-20.5	2.68	-0.50	3.75	-0.64	41.2	
37.85	256.63	177-1089B-4-6,25-26.5	2.95	-0.18			41.6	
37.90	257.09	177-1089B-4-6,29-30.5	2.89	-0.29	3.79	-0.98	40.2	
37.95	257.55	177-1089B-4-6,35-36.5	2.79	-0.43			43.4	
38.00	258.01	177-1089B-4-6,40-41.5	3.26	-0.17	3.74	-0.93	42.8	60.6
38.05	258.48	177-1089B-4-6,45-46.5	3.19	-0.01	3.76	-1.10	46.3	
38.10	258.95	177-1089B-4-6,49-50.5	3.11	0.08			47.8	
38.12	263.04	177-1089C-5-1,110-111.5	2.83	-0.28	3.89	-0.96	46.4	
38.17	263.31	177-1089C-5-1,115-116.5	2.93	-0.19	3.92	-1.08	48.2	
38.22	263.57	177-1089C-5-1,120-121.5	3.00	-0.21	3.94	-0.81	49.6	
38.27	263.84	177-1089C-5-1,125-126.5	2.95	-0.05	3.87	-0.45	49.3	43.3
38.32	264.11	177-1089C-5-1,130-131.5	2.91	-0.11	3.88	-0.30	49.4	
38.37	264.37	177-1089C-5-1,135-136.5	3.03	0.19	3.77	-0.69	49.8	
38.42	264.64	177-1089C-5-1,140-141.5	3.23	0.37	3.86	-1.03	46.4	
38.47	264.91	177-1089C-5-1,145-146.5	2.88	-0.10			47.3	30.3
38.52	265.17	177-1089C-5-2,0-1.5	3.07	0.39	3.75	-0.59	46.8	
