/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T7) Stable oxygen and carbon isotope ratios of Neogloboquadrina pachyderma (sinistral) at ODP Site 177-1094 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218134, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -53.180350 * LONGITUDE: 5.130333
	DATE/TIME START: 1998-01-20T00:00:00 * DATE/TIME END: 1998-01-20T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 90.970 m
Event(s):	177-1094 * LATITUDE: -53.180350 * LONGITUDE: 5.130333 * DATE/TIME: 1998-01-20T00:00:00 * ELEVATION: -2807.3 m * PENETRATION: 441.8 m * RECOVERY: 306.1 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 46 cores; 421.7 m cored; 20.1 m drilled; 72.6% recovery
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3780 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]
61.950	377.110	177-1094A-7-6,25-27	3.22	0.75
62.000	377.370	177-1094A-7-6,30-32	3.41	0.46
62.050	377.630	177-1094A-7-6,35-37	3.57	0.43
62.100	377.890	177-1094A-7-6,40-42	3.51	0.23
62.150	378.160	177-1094A-7-6,45-47	3.28	0.55
62.200	378.420	177-1094A-7-6,50-52	3.44	0.37
62.250	378.680	177-1094A-7-6,55-57	3.32	0.48
62.350	379.210	177-1094A-7-6,65-67	3.09	0.58
62.400	379.470	177-1094A-7-6,70-72	3.23	0.48
62.450	379.740	177-1094A-7-6,75-77	3.16	0.64
62.500	380.000	177-1094A-7-6,80-82	2.93	0.52
62.550	380.260	177-1094A-7-6,85-87	3.34	0.45
62.600	380.530	177-1094A-7-6,90-92	3.09	0.43
62.650	380.790	177-1094A-7-6,95-97	3.22	0.43
62.700	381.030	177-1094A-7-6,100-102	3.02	0.50
62.750	381.200	177-1094A-7-6,105-107	3.46	0.33
63.740	384.430	177-1094A-8-1,0-2	3.03	0.69
63.790	384.600	177-1094A-8-1,5-7	2.93	0.73
63.890	384.930	177-1094A-8-1,15-17	3.94	0.04
63.940	385.090	177-1094A-8-1,20-22	3.99	-0.08
63.990	385.250	177-1094A-8-1,25-27	3.90	-0.19
64.040	385.420	177-1094A-8-1,30-32	3.78	0.22
64.090	385.580	177-1094A-8-1,35-37	3.90	-0.02
64.140	385.740	177-1094A-8-1,40-42	4.13	-0.07
64.190	385.910	177-1094A-8-1,45-47	3.45	0.44
64.240	386.070	177-1094A-8-1,50-52	3.50	0.30
64.340	386.400	177-1094A-8-1,60-62	3.06	0.57
64.390	386.560	177-1094A-8-1,65-67	2.91	0.69
64.440	386.720	177-1094A-8-1,70-72	3.09	0.40
64.490	386.890	177-1094A-8-1,75-77	3.06	0.64
64.540	387.050	177-1094A-8-1,80-82	3.59	0.12
64.590	387.210	177-1094A-8-1,85-87	2.86	0.75
64.640	387.380	177-1094A-8-1,90-92	3.06	0.67
64.690	387.540	177-1094A-8-1,95-97	2.90	0.75
64.740	387.710	177-1094A-8-1,100-102	3.09	0.70
64.840	388.100	177-1094A-8-1,110-112	3.10	0.64
64.940	389.100	177-1094A-8-1,120-122	3.04	0.73
64.990	389.600	177-1094A-8-1,125-127	2.97	0.61
65.140	391.100	177-1094A-8-1,140-142	2.96	0.82
65.190	391.600	177-1094A-8-1,145-147	3.05	0.64
65.240	392.100	177-1094A-8-2,0-2	3.80	-0.23
65.290	392.600	177-1094A-8-2,5-7	3.06	0.54
65.340	393.100	177-1094A-8-2,10-12	3.14	0.46
65.490	394.600	177-1094A-8-2,25-27	3.11	0.53
65.540	395.100	177-1094A-8-2,30-32	3.14	0.71
65.690	396.600	177-1094A-8-2,45-47	3.10	0.50
65.740	397.100	177-1094A-8-2,50-52	3.26	0.54
65.790	397.600	177-1094A-8-2,55-57	3.29	0.53
65.840	398.110	177-1094A-8-2,60-62	3.46	0.59
65.890	398.690	177-1094A-8-2,65-67	3.18	0.45
65.990	399.830	177-1094A-8-2,75-77	3.32	0.44
66.040	400.400	177-1094A-8-2,80-82	3.28	0.48
66.090	400.970	177-1094A-8-2,85-87	3.27	0.47
66.140	401.540	177-1094A-8-2,90-92	3.40	0.44
66.190	402.110	177-1094A-8-2,95-97	3.36	0.48
66.240	402.690	177-1094A-8-2,100-102	3.21	0.57
66.290	403.260	177-1094A-8-2,105-107	3.46	0.33
66.340	403.830	177-1094A-8-2,110-112	3.39	0.48
66.390	404.400	177-1094A-8-2,115-117	3.23	0.55
66.440	404.970	177-1094A-8-2,120-122	3.31	0.38
66.490	405.540	177-1094A-8-2,125-127	3.26	0.67
66.540	406.110	177-1094A-8-2,130-132	3.71	0.19
66.590	406.690	177-1094A-8-2,135-137	3.66	0.32
66.640	407.260	177-1094A-8-2,140-142	3.92	0.20
66.690	407.830	177-1094A-8-2,145-147	3.39	0.56
66.790	408.970	177-1094A-8-3,5-7	3.91	0.14
66.840	409.540	177-1094A-8-3,10-12	4.06	0.12
66.890	410.070	177-1094A-8-3,15-17	3.50	0.15
66.940	410.400	177-1094A-8-3,20-22	3.54	0.10
66.990	410.730	177-1094A-8-3,25-27	3.37	0.31
67.040	411.070	177-1094A-8-3,30-32	3.48	0.46
67.090	411.400	177-1094A-8-3,35-37	3.48	0.35
67.140	411.730	177-1094A-8-3,40-42	3.39	0.32
67.190	412.070	177-1094A-8-3,45-47	3.49	0.35
67.240	412.400	177-1094A-8-3,50-52	3.44	0.29
67.290	412.730	177-1094A-8-3,55-57	3.44	0.47
67.340	413.070	177-1094A-8-3,60-62	3.55	0.42
67.390	413.400	177-1094A-8-3,65-67	3.51	0.46
67.440	413.730	177-1094A-8-3,70-72	3.51	0.38
67.490	414.070	177-1094A-8-3,75-77	3.64	0.42
67.540	414.400	177-1094A-8-3,80-82	3.51	0.46
67.590	414.730	177-1094A-8-3,85-87	3.46	0.40
67.640	415.070	177-1094A-8-3,90-92	3.93	0.06
67.690	415.400	177-1094A-8-3,95-97	3.92	0.10
67.740	415.730	177-1094A-8-3,100-102	3.84	0.13
67.790	416.070	177-1094A-8-3,105-107	3.36	0.54
67.840	416.400	177-1094A-8-3,110-112	3.60	0.29
67.890	416.730	177-1094A-8-3,115-117	3.71	0.12
67.940	417.070	177-1094A-8-3,120-122	3.86	0.15
67.990	417.400	177-1094A-8-3,125-127	3.89	0.18
68.240	419.070	177-1094A-8-4,0-2	3.55	0.30
68.290	419.400	177-1094A-8-4,5-7	3.44	0.54
68.340	419.730	177-1094A-8-4,10-12	3.53	0.37
68.390	420.070	177-1094A-8-4,15-17	3.51	0.44
68.440	420.400	177-1094A-8-4,20-22	3.57	0.45
68.490	420.730	177-1094A-8-4,25-27	3.49	0.48
68.540	421.070	177-1094A-8-4,30-32	3.63	0.30
68.590	421.440	177-1094A-8-4,35-37	3.65	0.23
68.640	421.810	177-1094A-8-4,40-42	3.75	0.31
68.690	422.190	177-1094A-8-4,45-47	3.61	0.32
68.740	422.560	177-1094A-8-4,50-52	3.76	0.33
68.790	422.930	177-1094A-8-4,55-57	3.62	0.46
68.840	423.160	177-1094A-8-4,60-62	3.73	0.22
68.890	423.350	177-1094A-8-4,65-67	3.78	0.33
68.940	423.550	177-1094A-8-4,70-72	3.83	0.35
69.090	424.130	177-1094A-8-4,85-87	3.84	0.34
69.140	424.330	177-1094A-8-4,90-92	3.78	0.30
69.190	424.520	177-1094A-8-4,95-97	3.70	0.44
69.240	424.720	177-1094A-8-4,100-102	3.68	0.26
69.290	424.910	177-1094A-8-4,105-107	3.91	0.11
69.340	425.110	177-1094A-8-4,110-112	3.93	0.07
69.390	425.300	177-1094A-8-4,115-117	3.99	0.13
69.440	425.500	177-1094A-8-4,120-122	3.51	0.11
69.490	425.700	177-1094A-8-4,125-127	4.01	0.02
69.540	425.890	177-1094A-8-4,130-132	3.75	0.15
69.590	426.090	177-1094A-8-4,135-137	4.13	-0.01
69.640	426.280	177-1094A-8-4,140-142	3.96	0.17
69.740	426.670	177-1094A-8-5,0-2	4.06	0.17
69.790	426.870	177-1094A-8-5,5-7	4.08	0.01
69.840	427.060	177-1094A-8-5,10-12	3.99	0.21
69.890	427.260	177-1094A-8-5,15-17	3.90	0.17
69.940	427.450	177-1094A-8-5,20-22	4.04	0.08
69.990	427.650	177-1094A-8-5,25-27	3.92	0.09
70.040	427.840	177-1094A-8-5,30-32	3.87	0.05
70.140	428.290	177-1094A-8-5,40-42	4.12	0.08
70.190	428.520	177-1094A-8-5,45-47	3.96	0.15
70.240	428.760	177-1094A-8-5,50-52	4.22	0.05
70.290	429.000	177-1094A-8-5,55-57	3.91	0.00
70.340	429.240	177-1094A-8-5,60-62	3.83	0.26
70.390	429.480	177-1094A-8-5,65-67	4.02	0.08
70.440	429.710	177-1094A-8-5,70-72	4.04	-0.07
70.490	429.950	177-1094A-8-5,75-77	4.10	0.18
70.540	430.200	177-1094A-8-5,80-82	4.08	-0.06
70.590	430.450	177-1094A-8-5,85-87	4.05	0.04
70.640	430.700	177-1094A-8-5,90-92	4.32	0.21
70.690	430.950	177-1094A-8-5,95-97	4.14	-0.04
70.740	431.070	177-1094A-8-5,100-102	4.23	-0.18
70.790	431.150	177-1094A-8-5,105-107	4.17	-0.16
70.990	431.480	177-1094A-8-5,125-127	4.04	-0.30
71.040	431.570	177-1094A-8-5,130-132	4.29	-0.21
71.090	431.650	177-1094A-8-5,135-137	4.33	-0.29
71.140	431.730	177-1094A-8-5,140-142	3.92	-0.02
71.190	431.820	177-1094A-8-5,145-147	3.87	0.10
71.240	431.900	177-1094A-8-6,0-2	4.12	0.03
71.340	432.070	177-1094A-8-6,10-12	3.89	-0.02
72.040	433.230	177-1094D-6-3,80-82	4.04	-0.66
72.090	433.320	177-1094D-6-3,85-87	4.27	-0.52
72.140	433.400	177-1094D-6-3,90-92	4.22	-0.51
72.190	433.480	177-1094D-6-3,95-97	4.37	-0.57
72.240	433.570	177-1094D-6-3,100-102	4.48	-0.37
72.290	433.650	177-1094D-6-3,105-107	4.36	-0.44
72.340	433.730	177-1094D-6-3,110-112	4.24	-0.43
72.390	433.820	177-1094D-6-3,115-117	4.54	-0.47
72.740	435.920	177-1094D-6-4,0-2	4.29	-0.50
72.790	436.320	177-1094D-6-4,5-7	4.29	-0.44
72.840	436.720	177-1094D-6-4,10-12	4.20	-0.43
72.890	437.120	177-1094D-6-4,15-17	4.42	-0.33
72.940	437.520	177-1094D-6-4,20-22	4.30	-0.43
73.040	438.320	177-1094D-6-4,30-32	4.38	-0.40
73.090	438.720	177-1094D-6-4,35-37	4.36	-0.26
73.140	439.120	177-1094D-6-4,40-42	4.37	-0.39
73.190	439.520	177-1094D-6-4,45-47	4.44	-0.34
73.240	439.920	177-1094D-6-4,50-52	3.91	0.02
73.290	440.320	177-1094D-6-4,55-57	4.07	0.03
73.390	441.120	177-1094D-6-4,65-67	4.20	0.21
73.440	441.520	177-1094D-6-4,70-72	4.24	-0.40
73.540	442.220	177-1094D-6-4,80-82	4.34	-0.40
73.590	442.500	177-1094D-6-4,85-87	3.90	0.06
73.690	443.050	177-1094D-6-4,95-97	4.27	-0.31
74.590	448.010	177-1094D-6-5,35-37	3.44	0.55
75.040	450.490	177-1094D-6-5,80-82	3.60	0.59
75.090	450.760	177-1094D-6-5,85-87	3.71	0.49
75.140	451.040	177-1094D-6-5,90-92	3.38	0.75
75.190	451.310	177-1094D-6-5,95-97	4.41	-0.37
75.240	451.590	177-1094D-6-5,100-102	4.47	-0.44
75.290	451.860	177-1094D-6-5,105-107	4.09	0.06
75.340	452.140	177-1094D-6-5,110-112	4.44	-0.41
75.390	452.410	177-1094D-6-5,115-117	4.49	-0.42
75.440	452.690	177-1094D-6-5,120-122	4.31	-0.35
75.490	452.970	177-1094D-6-5,125-127	4.19	-0.26
75.540	453.240	177-1094D-6-5,130-132	3.68	0.47
75.590	453.520	177-1094D-6-5,135-137	3.53	0.68
75.640	453.790	177-1094D-6-5,140-142	3.56	0.47
75.690	454.070	177-1094D-6-5,145-147	3.51	0.67
75.740	454.340	177-1094D-6-6,0-2	3.79	0.56
75.790	454.620	177-1094D-6-6,5-7	4.09	0.57
75.840	454.890	177-1094D-6-6,10-12	3.64	0.48
75.890	455.170	177-1094D-6-6,15-17	3.64	0.32
75.940	455.440	177-1094D-6-6,20-22	4.12	-0.35
75.990	455.720	177-1094D-6-6,25-27	4.18	-0.33
76.040	456.000	177-1094D-6-6,30-32	3.54	0.51
76.090	456.270	177-1094D-6-6,35-37	3.68	0.35
76.140	456.550	177-1094D-6-6,40-42	3.92	0.33
76.190	456.820	177-1094D-6-6,45-47	3.73	0.42
76.240	457.100	177-1094D-6-6,50-52	3.83	0.40
76.290	457.370	177-1094D-6-6,55-57	3.66	0.52
76.340	457.650	177-1094D-6-6,60-62	4.17	-0.10
76.390	457.920	177-1094D-6-6,65-67	4.20	-0.19
76.440	458.200	177-1094D-6-6,70-72	3.84	0.29
76.490	458.480	177-1094D-6-6,75-77	3.92	0.20
76.540	458.750	177-1094D-6-6,80-82	3.89	0.40
76.590	459.030	177-1094D-6-6,85-87	3.90	0.26
76.640	459.300	177-1094D-6-6,90-92	3.86	0.34
76.700	459.630	177-1094A-9-2,130-132	3.94	0.55
76.750	459.910	177-1094A-9-2,135-137	3.88	0.49
76.800	460.180	177-1094A-9-2,140-142	3.86	0.55
76.850	460.460	177-1094A-9-2,145-147	3.85	0.55
76.900	460.730	177-1094A-9-3,0-2	3.88	0.59
76.950	461.010	177-1094A-9-3,5-7	3.81	0.58
77.000	461.290	177-1094A-9-3,10-12	3.71	0.51
77.050	461.560	177-1094A-9-3,15-17	3.79	0.57
77.100	461.840	177-1094A-9-3,20-22	4.00	0.59
77.150	462.110	177-1094A-9-3,25-27	3.89	0.52
77.200	462.390	177-1094A-9-3,30-32	3.76	0.51
77.250	462.660	177-1094A-9-3,35-37	3.80	0.60
77.350	463.210	177-1094A-9-3,45-47	3.86	0.49
77.400	463.490	177-1094A-9-3,50-52	3.61	0.44
77.450	463.770	177-1094A-9-3,55-57	3.82	0.41
77.500	464.040	177-1094A-9-3,60-62	3.70	0.46
77.550	464.320	177-1094A-9-3,65-67	3.80	0.30
77.600	464.590	177-1094A-9-3,70-72	3.76	0.32
77.650	464.870	177-1094A-9-3,75-77	3.78	0.27
77.700	465.140	177-1094A-9-3,80-82	3.77	0.19
77.750	465.420	177-1094A-9-3,85-87	3.78	0.21
77.800	465.690	177-1094A-9-3,90-92	3.76	0.14
77.850	465.970	177-1094A-9-3,95-97	3.70	0.06
77.900	466.240	177-1094A-9-3,100-102	3.75	-0.05
77.950	466.520	177-1094A-9-3,105-107	3.80	-0.07
78.000	466.800	177-1094A-9-3,110-112	3.86	-0.16
78.050	467.070	177-1094A-9-3,115-117	3.83	-0.19
78.100	467.350	177-1094A-9-3,120-122	3.88	-0.19
78.150	467.620	177-1094A-9-3,125-127	3.82	0.05
78.200	467.900	177-1094A-9-3,130-132	3.83	0.25
78.250	468.170	177-1094A-9-3,135-137	4.15	-0.16
78.300	468.450	177-1094A-9-3,140-142	4.01	0.06
78.350	468.720	177-1094A-9-3,145-147	4.09	-0.08
78.400	469.000	177-1094A-9-4,0-2	4.28	-0.21
78.450	469.420	177-1094A-9-4,5-7	4.28	-0.27
78.500	469.840	177-1094A-9-4,10-12	3.81	0.16
78.550	470.260	177-1094A-9-4,15-17	4.14	-0.12
78.600	470.690	177-1094A-9-4,20-22	3.92	-0.08
78.650	471.110	177-1094A-9-4,25-27	3.74	-0.10
78.700	471.530	177-1094A-9-4,30-32	3.75	-0.02
78.750	471.950	177-1094A-9-4,35-37	3.78	0.07
78.800	472.370	177-1094A-9-4,40-42	3.68	0.11
78.970	473.800	177-1094D-7-1,25-27	3.63	0.01
79.020	474.230	177-1094D-7-1,30-32	3.62	0.11
79.070	474.650	177-1094D-7-1,35-37	3.59	0.01
79.120	475.070	177-1094D-7-1,40-42	3.61	0.05
79.170	475.490	177-1094D-7-1,45-47	3.60	-0.01
79.220	475.910	177-1094D-7-1,50-52	3.69	-0.06
79.270	476.330	177-1094D-7-1,55-57	3.95	0.01
79.320	476.750	177-1094D-7-1,60-62	3.63	0.02
79.370	477.180	177-1094D-7-1,65-67	3.71	0.15
79.420	477.600	177-1094D-7-1,70-72	3.63	0.04
79.470	478.020	177-1094D-7-1,75-77	3.58	0.16
79.520	478.440	177-1094D-7-1,80-82	3.62	0.22
79.570	478.860	177-1094D-7-1,85-87	3.61	0.24
79.620	479.280	177-1094D-7-1,90-92	3.54	0.38
79.670	479.700	177-1094D-7-1,95-97	3.51	0.34
79.720	480.130	177-1094D-7-1,100-102	3.52	0.37
79.770	480.550	177-1094D-7-1,105-107	3.51	0.39
79.820	480.970	177-1094D-7-1,110-112	3.52	0.38
79.870	481.390	177-1094D-7-1,115-117	3.50	0.38
79.920	481.810	177-1094D-7-1,120-122	3.39	0.44
79.970	482.230	177-1094D-7-1,125-127	3.42	0.43
80.020	482.660	177-1094D-7-1,130-132	3.50	0.47
80.070	483.080	177-1094D-7-1,135-137	3.61	0.48
80.120	483.500	177-1094D-7-1,140-142	3.49	0.54
80.170	483.920	177-1094D-7-1,145-147	3.33	0.52
80.220	484.340	177-1094D-7-2,0-2	3.36	0.60
80.270	484.760	177-1094D-7-2,5-7	3.39	0.59
80.320	485.180	177-1094D-7-2,10-12	3.39	0.61
80.370	485.610	177-1094D-7-2,15-17	3.50	0.55
80.420	486.030	177-1094D-7-2,20-22	3.41	0.60
80.470	486.450	177-1094D-7-2,25-27	3.32	0.67
80.520	486.870	177-1094D-7-2,30-32	3.14	0.57
80.570	487.290	177-1094D-7-2,35-37	3.33	0.64
80.620	487.710	177-1094D-7-2,40-42	3.16	0.57
80.670	488.130	177-1094D-7-2,45-47	3.13	0.61
80.720	488.560	177-1094D-7-2,50-52	3.18	0.54
80.770	488.980	177-1094D-7-2,55-57	3.14	0.58
80.820	489.400	177-1094D-7-2,60-62	3.11	0.56
80.870	489.820	177-1094D-7-2,65-67	3.31	0.58
80.920	490.240	177-1094D-7-2,70-72	3.27	0.57
80.970	490.660	177-1094D-7-2,75-77	3.50	0.53
81.020	491.080	177-1094D-7-2,80-82	3.28	0.51
81.070	491.510	177-1094D-7-2,85-87	3.24	0.48
81.120	491.930	177-1094D-7-2,90-92	3.46	0.44
81.170	492.350	177-1094D-7-2,95-97	3.49	0.57
81.220	492.770	177-1094D-7-2,100-102	3.25	0.46
81.270	493.190	177-1094D-7-2,105-107	3.37	0.32
81.320	493.610	177-1094D-7-2,110-112	3.22	0.33
81.370	494.030	177-1094D-7-2,115-117	3.23	0.38
81.420	494.460	177-1094D-7-2,120-122	3.17	0.35
81.470	494.880	177-1094D-7-2,125-127	3.14	0.43
81.520	495.300	177-1094D-7-2,130-132	3.21	0.37
81.570	495.720	177-1094D-7-2,135-137	3.28	0.32
81.620	496.140	177-1094D-7-2,140-142	3.18	0.29
81.670	496.560	177-1094D-7-2,145-147	3.32	0.28
81.720	496.980	177-1094D-7-3,0-2	3.18	0.32
81.770	497.410	177-1094D-7-3,5-7	3.17	0.28
81.820	497.830	177-1094D-7-3,10-12	3.18	0.28
81.920	498.670	177-1094D-7-3,20-22	3.18	0.43
81.970	499.090	177-1094D-7-3,25-27	3.22	0.25
82.020	499.510	177-1094D-7-3,30-32	3.17	0.30
82.070	499.930	177-1094D-7-3,35-37	3.33	0.19
82.120	500.360	177-1094D-7-3,40-42	3.30	0.22
82.170	500.780	177-1094D-7-3,45-47	3.23	0.10
82.220	501.200	177-1094D-7-3,50-52	3.26	0.20
82.270	501.620	177-1094D-7-3,55-57	3.19	0.15
82.320	502.040	177-1094D-7-3,60-62	3.23	0.04
82.370	502.460	177-1094D-7-3,65-67	3.29	0.10
82.420	502.890	177-1094D-7-3,70-72	3.23	0.19
82.470	503.310	177-1094D-7-3,75-77	3.36	0.19
82.520	503.730	177-1094D-7-3,80-82	3.32	0.21
82.570	504.150	177-1094D-7-3,85-87	3.40	0.22
82.620	504.570	177-1094D-7-3,90-92	3.29	0.14
82.670	504.990	177-1094D-7-3,95-97	3.20	0.38
82.720	505.410	177-1094D-7-3,100-102	3.21	0.29
82.770	505.840	177-1094D-7-3,105-107	3.17	0.33
82.820	506.260	177-1094D-7-3,110-112	3.28	0.06
82.870	506.680	177-1094D-7-3,115-117	3.34	0.31
82.920	507.100	177-1094D-7-3,120-122	3.23	0.21
83.020	507.940	177-1094D-7-3,130-132	3.49	0.27
83.070	508.360	177-1094D-7-3,135-137	3.39	0.28
83.120	508.790	177-1094D-7-3,140-142	3.52	0.09
83.170	509.210	177-1094D-7-3,145-147	3.50	0.09
83.220	509.630	177-1094D-7-4,0-2	3.25	0.21
83.270	510.050	177-1094D-7-4,5-7	3.62	-0.08
83.320	510.470	177-1094D-7-4,10-12	3.57	0.04
83.370	510.890	177-1094D-7-4,15-17	3.80	-0.22
83.420	511.310	177-1094D-7-4,20-22	3.68	0.00
83.470	511.740	177-1094D-7-4,25-27	3.45	0.17
83.520	512.160	177-1094D-7-4,30-32	3.29	0.13
83.570	512.580	177-1094D-7-4,35-37	3.44	0.24
83.620	513.000	177-1094D-7-4,40-42	3.80	0.01
83.670	513.190	177-1094D-7-4,45-47	3.67	-0.11
83.720	513.380	177-1094D-7-4,50-52	3.73	0.02
83.770	513.570	177-1094D-7-4,55-57	3.93	-0.13
83.820	513.770	177-1094D-7-4,60-62	3.83	-0.05
83.870	513.960	177-1094D-7-4,65-67	3.71	-0.05
83.890	514.030	177-1094A-10-1,95-97	3.55	0.16
83.940	514.230	177-1094A-10-1,100-102	3.60	0.21
83.990	514.420	177-1094A-10-1,104.5-107	3.59	0.29
84.040	514.610	177-1094A-10-1,110-112	3.46	0.25
84.080	514.760	177-1094A-10-1,114.5-117	3.47	0.32
84.140	514.990	177-1094A-10-1,120-122	3.46	0.27
84.190	515.180	177-1094A-10-1,125-127	3.37	0.33
84.240	515.380	177-1094A-10-1,130-132	3.41	0.38
84.290	515.570	177-1094A-10-1,134.5-137	3.37	0.33
84.340	515.760	177-1094A-10-1,140-142	3.35	0.34
84.390	515.950	177-1094A-10-1,144.5-147	3.41	0.47
84.440	516.140	177-1094A-10-2,0-2	3.39	0.36
84.490	516.330	177-1094A-10-2,5-7	3.33	0.53
84.540	516.530	177-1094A-10-2,10-12	3.35	0.39
84.580	516.680	177-1094A-10-2,14.5-17	3.30	0.45
84.640	516.910	177-1094A-10-2,20-22	3.37	0.45
84.680	517.060	177-1094A-10-2,24.5-27	3.42	0.43
84.740	517.290	177-1094A-10-2,30-32	3.36	0.47
84.790	517.480	177-1094A-10-2,35-37	3.34	0.47
84.840	517.680	177-1094A-10-2,40-42	3.32	0.34
84.890	517.870	177-1094A-10-2,44.5-47	3.40	0.48
84.990	518.250	177-1094A-10-2,54.5-57	3.37	0.48
85.040	518.440	177-1094A-10-2,60-62	3.34	0.52
85.090	518.630	177-1094A-10-2,65-67	3.43	0.41
85.110	518.710	177-1094A-10-2,67-69	3.38	0.42
85.180	518.980	177-1094A-10-2,74.5-77	3.46	0.38
85.240	519.210	177-1094A-10-2,80-82	3.37	0.38
85.290	519.400	177-1094A-10-2,84.5-87	3.32	0.50
85.340	519.590	177-1094A-10-2,90-92	3.36	0.42
85.390	519.780	177-1094A-10-2,95-97	3.31	0.54
85.410	519.860	177-1094A-10-2,97-99	3.34	0.50
85.490	520.170	177-1094A-10-2,104.5-107	3.29	0.44
85.540	520.360	177-1094A-10-2,110-112	3.36	0.51
85.580	520.510	177-1094A-10-2,114.5-117	3.34	0.56
85.640	520.740	177-1094A-10-2,120-122	3.34	0.36
85.690	520.930	177-1094A-10-2,125-127	3.31	0.49
85.740	521.130	177-1094A-10-2,130-132	3.31	0.31
85.790	521.320	177-1094A-10-2,134.5-137	3.28	0.45
85.840	521.510	177-1094A-10-2,140-142	3.31	0.50
85.890	521.700	177-1094A-10-2,144.5-147	3.32	0.52
85.940	521.890	177-1094A-10-3,0-2	3.34	0.35
85.990	522.080	177-1094A-10-3,5-7	3.20	0.46
86.040	522.280	177-1094A-10-3,10-12	3.32	0.41
86.080	522.430	177-1094A-10-3,14.5-17	3.30	0.47
86.140	522.660	177-1094A-10-3,20-22	3.29	0.40
86.180	522.810	177-1094A-10-3,24.5-27	3.33	0.47
86.240	523.040	177-1094A-10-3,30-32	3.40	0.55
86.290	523.230	177-1094A-10-3,35-37	3.21	0.29
86.340	523.430	177-1094A-10-3,40-42	3.33	0.43
86.390	523.620	177-1094A-10-3,44.5-47	3.29	0.47
86.440	523.810	177-1094A-10-3,50-52	3.28	0.34
86.490	524.000	177-1094A-10-3,54.5-57	3.35	0.29
86.540	524.210	177-1094A-10-3,60-62	3.49	0.41
86.590	524.420	177-1094A-10-3,65-67	3.37	0.36
86.680	524.800	177-1094A-10-3,74.5-77	3.40	0.39
86.740	525.050	177-1094A-10-3,80-82	3.36	0.44
86.790	525.260	177-1094A-10-3,84.5-87	3.32	0.31
86.840	525.470	177-1094A-10-3,90-92	3.45	0.32
86.890	525.680	177-1094A-10-3,95-97	3.37	0.32
86.940	525.890	177-1094A-10-3,100-102	3.36	0.33
86.990	526.100	177-1094A-10-3,104.5-107	3.37	0.31
87.010	526.190	177-1094A-10-3,107-109	3.44	0.23
87.080	526.480	177-1094A-10-3,114.5-117	3.41	0.27
87.140	526.730	177-1094A-10-3,120-122	3.36	0.21
87.190	526.940	177-1094A-10-3,125-127	3.45	0.23
87.240	527.150	177-1094A-10-3,130-132	3.39	0.33
87.290	527.360	177-1094A-10-3,134.5-137	3.42	0.18
87.340	527.570	177-1094A-10-3,140-142	3.50	0.14
87.390	527.780	177-1094A-10-3,144.5-147	3.45	0.15
87.440	527.990	177-1094A-10-4,0-2	3.57	0.20
87.490	528.200	177-1094A-10-4,5-7	3.57	0.17
87.540	528.410	177-1094A-10-4,10-12	3.62	0.23
87.580	528.580	177-1094A-10-4,14.5-17	3.63	0.14
87.640	528.830	177-1094A-10-4,20-22	3.63	0.14
